Participant,Activity,Mean,Std,Skewness,Max,Min,Max-Min,Max PSD,Max Frequency,Frequency Centroid,Frequency Bandwidth,Frequency Skewness,Spectral Entropy
Avraam,biking,-0.5153780342978008,-0.7153050799527171,-2.0509837891339466,-0.8354537617025793,-0.4954802004256889,-0.8412932919117587,-0.5724398024473866,0.7257385698681639,-0.766057043294169,-1.4363106381676425,0.3141959132917065,0.5147029944433303
Avraam,biking,-0.5304850981498532,-0.7180622932721964,-2.0515157716093135,-0.8369123429491654,-0.48304714535366733,-0.8433992262022616,-0.5702985948234366,0.1654257034258315,-0.8541966681497538,-1.5125163594880073,0.4962781717176512,0.5141769788390538
Avraam,upstairs,-0.00339684096192897,0.3044335083162835,0.9565221617728377,1.0642147656645955,-0.6047818885514814,1.130871113893089,0.1256116963261585,-0.8431374561703668,-0.8078974836087126,0.25765285702629787,0.0978749978843013,0.21952319312357846
Avraam,upstairs,-0.0828602173634587,-0.2941906627338296,0.5386434797090422,-0.07076141133862134,-0.12100579586427693,-0.06746894887746546,-0.5176954467670425,-0.05869944315110148,1.6984714737675146,1.3812475011759986,-0.8280305308715646,0.4530674221303002
Avraam,upstairs,-0.14364345709685003,-0.27712856523342133,0.3583999641335791,-0.03543778608571886,-0.4243918458668489,-0.01635838402519421,-0.4898262219046011,-0.05869944315110148,1.423967859820747,1.2969970032897786,-0.7095035869953747,0.4485049717129337
Avraam,upstairs,-0.20688853352879444,-0.20026459789973952,0.7992104373348129,0.09921875706384467,-0.6040327312436404,0.13167297408359693,-0.4771655490642045,-0.05869944315110148,0.34739518997441526,0.6962537930303592,-0.3656744472235937,0.41974477808176636
Avraam,upstairs,-0.35856944442329425,-0.24389566415487374,-0.18205582435982645,-0.08803018438997337,-0.6294391173824598,-0.0609883146134727,-0.3329819826415864,-0.8431374561703668,-0.9939664669993739,0.1646680827635249,0.4138972270557509,0.4213061338633315
Avraam,upstairs,-0.34494347493078925,-0.20658949974843138,0.6919603632188477,0.09921875706384467,-0.6294391173824598,0.1328902828742512,-0.3980928947216115,-0.8431374561703668,-0.818619166593206,-0.12206970894508891,0.23595879898149613,0.40611119509249693
Avraam,downstairs,0.2565210693174437,0.24549499947095751,-0.6923256560195792,0.4077609515113392,-0.5176834812882166,0.44700198719121464,-0.2963463628728709,-0.8431374561703668,0.1823699076202422,0.35690026541801384,-0.2914125024254586,0.24148373617627042
Avraam,downstairs,0.23901638448842338,-0.09264125533918911,-0.19426030061442956,0.2680356166649468,0.09076751942929953,0.2731765819968073,-0.4903637998324484,0.277488276714298,1.522510144666346,0.9198418843222116,-0.614741629304442,0.38677387182284034
Avraam,downstairs,0.2735074086253286,-0.005178449037379822,-0.32120364237856,0.047207313910030975,0.2243647046852549,0.03812861843182182,-0.4155246273628787,1.3981140095989628,1.3733000706163316,0.7751741937442305,-0.49641756896165784,0.33823732007357504
Avraam,downstairs,0.2904131594913943,0.03268719981754349,-0.5922135323297586,0.03509991717797307,0.18039957927607086,0.027699075260757187,-0.45349156588856465,1.2860514363104962,1.2983111653359234,0.8540526072730121,-0.5188285660569097,0.3411021571434233
Avraam,downstairs,-0.032917395800533836,0.13190000128486656,-0.8902912548179343,0.3781793382692676,-0.639898658115517,0.4222287764213254,-0.46418824160289374,1.1739888630220299,1.5361424374339192,1.1381694317092368,-0.6599693980540566,0.3648891167437664
Avraam,downstairs,-0.558422932444085,0.08788049473460363,0.9013120914581823,-0.24348904636833382,-0.6340372553742892,-0.2217309737835205,-0.2486924149798794,-0.8431374561703668,-2.4608426988161387,-2.0967986570102113,5.145807888462966,0.46037190010481943
